"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1019.9","1022.2","15.0","10.8","76","6.6","40","13.1","40","0.5","0.9","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1019.4","1021.7","14.7","10.9","78","5.3","30","12.1","50","T","0.9","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1018.9","1021.2","15.0","10.8","76","4.3","40","10.5","360","T","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1019.2","1021.5","14.6","10.2","75","7.1","40","11.9","40","0.5","0.7","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1019.6","1021.9","14.6","10.2","75","5.3","40","13.1","40","T","0.7","--","0.00","--","0","--","15.3","16.2","17.0","17.8","19.3","20.5","21.8"
"06","1020.0","1022.3","14.4","10.8","79","2.2","360","9.0","120","T","0.6","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1020.7","1023.0","13.7","11.8","88","2.5","270","5.8","10","0.5","0.9","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"08","1020.9","1023.2","13.8","12.4","91","1.7","260","4.8","270","0.5","1.0","0.0","0.16","10.0","0","10.0","--","--","--","--","--","--","--"
"09","1020.9","1023.2","14.9","13.1","89","1.7","270","3.4","330","T","1.0","0.0","0.55","10.0","1","10.0","15.9","16.0","16.7","17.3","18.9","20.2","21.8"
"10","1020.6","1022.9","15.4","11.8","79","3.2","350","4.9","340","0.5","0.7","0.0","0.94","--","2","--","--","--","--","--","--","--","--"
"11","1020.1","1022.4","16.4","12.6","78","2.9","10","5.5","360","T","0.7","0.0","1.34","10.0","4","10.0","--","--","--","--","--","--","--"
"12","1019.1","1021.4","16.2","12.2","77","2.2","20","4.8","20","T","0.4","0.0","1.30","--","4","--","--","--","--","--","--","--","--"
"13","1018.3","1020.6","15.5","12.1","80","2.0","350","5.6","360","T","0.6","0.0","0.60","--","2","--","--","--","--","--","--","--","--"
"14","1017.3","1019.6","15.9","12.8","82","1.2","340","3.5","350","0.5","1.0","0.0","0.71","15.0","2","10.0","17.2","17.3","17.8","17.7","18.8","20.0","21.8"
"15","1016.8","1019.1","16.0","13.1","83","2.2","340","3.4","340","T","1.0","0.0","0.61","--","2","--","--","--","--","--","--","--","--"
"16","1016.5","1018.8","15.5","13.0","85","2.0","340","4.3","360","0.5","1.0","0.0","0.25","--","1","--","--","--","--","--","--","--","--"
"17","1017.1","1019.4","15.2","13.4","89","2.1","350","4.0","350","0.5","1.0","0.0","0.12","15.0","0","10.0","--","--","--","--","--","--","--"
"18","1017.8","1020.1","14.9","13.4","91","2.8","360","4.8","350","T","1.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"19","1017.9","1020.2","14.9","13.3","90","1.8","320","4.0","350","0.5","0.8","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1018.5","1020.8","14.8","13.3","91","1.4","320","2.8","350","T","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1018.5","1020.8","14.9","13.4","91","2.6","320","4.2","310","T","0.3","--","0.00","--","0","--","16.4","16.8","17.4","17.9","19.0","19.9","21.7"
"22","1018.3","1020.6","14.6","13.2","91","2.3","330","4.6","350","T","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1018.4","1020.7","14.4","13.3","93","2.5","330","4.1","330","0.5","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1018.0","1020.3","14.4","13.3","93","1.8","300","3.1","330","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
