"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1025.1","1027.4","14.4","11.6","83","1.6","280","3.0","290","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1024.6","1026.9","13.8","11.3","85","1.7","280","3.4","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1024.1","1026.4","13.1","11.2","88","2.1","270","3.3","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1024.0","1026.3","13.0","9.8","81","1.9","280","3.8","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1024.4","1026.7","12.8","9.4","80","2.7","290","3.5","300","0.0","0.0","--","0.00","--","0","--","14.1","15.1","15.8","16.7","18.1","19.2","21.2"
"06","1025.4","1027.8","12.0","9.6","85","2.7","260","3.7","250","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1026.5","1028.9","11.9","9.1","83","2.5","250","3.5","250","0.0","0.0","0.0","0.04","--","0","--","--","--","--","--","--","--","--"
"08","1027.1","1029.4","13.9","9.4","74","1.8","250","3.9","230","0.0","0.0","0.9","0.57","15.0","0","2.0","--","--","--","--","--","--","--"
"09","1027.6","1029.9","17.3","9.5","60","1.2","260","3.7","230","0.0","0.0","1.0","1.47","15.0","2","3.0","14.0","14.4","15.1","16.0","17.7","19.0","21.2"
"10","1027.8","1030.1","19.3","8.6","50","4.4","60","8.3","30","0.0","0.0","1.0","2.23","--","4","--","--","--","--","--","--","--","--"
"11","1027.5","1029.8","20.1","8.5","47","5.0","50","8.7","70","0.0","0.0","0.9","2.81","15.0","6","4.0","--","--","--","--","--","--","--"
"12","1026.8","1029.1","20.6","6.6","40","5.0","60","9.4","70","0.0","0.0","1.0","3.27","--","7","--","--","--","--","--","--","--","--"
"13","1025.9","1028.2","20.6","5.8","38","5.0","60","8.3","80","0.0","0.0","1.0","3.29","--","8","--","--","--","--","--","--","--","--"
"14","1025.4","1027.7","20.6","5.0","36","5.1","60","8.4","50","0.0","0.0","1.0","3.07","15.0","6","3.0","18.4","17.5","17.6","16.9","17.7","18.9","21.1"
"15","1025.2","1027.5","19.6","7.0","44","3.7","40","7.9","60","0.0","0.0","0.3","1.35","--","3","--","--","--","--","--","--","--","--"
"16","1025.2","1027.5","19.6","7.0","44","2.7","40","8.0","30","0.0","0.0","0.0","0.78","--","2","--","--","--","--","--","--","--","--"
"17","1025.7","1028.0","19.3","6.4","43","2.6","10","6.7","60","0.0","0.0","0.0","0.47","15.0","1","9.0","--","--","--","--","--","--","--"
"18","1025.8","1028.1","18.4","8.1","51","1.5","310","4.6","340","0.0","0.0","0.0","0.07","--","0","--","--","--","--","--","--","--","--"
"19","1026.2","1028.5","17.9","8.8","55","1.7","300","2.8","320","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1026.6","1028.9","17.8","8.7","55","2.0","300","3.0","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1026.9","1029.2","16.7","10.1","65","2.0","260","3.4","310","0.0","0.0","--","0.00","--","0","--","16.9","17.5","18.2","18.7","19.1","19.2","21.0"
"22","1026.9","1029.2","16.3","10.0","66","2.1","240","2.9","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1026.6","1028.9","15.7","9.8","68","1.8","260","3.8","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1026.4","1028.7","14.9","9.3","69","2.1","250","3.1","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
