"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1005.9","1008.1","28.0","25.4","86","2.6","10","5.9","60","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1005.4","1007.6","27.7","25.5","88","1.2","350","4.4","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1005.0","1007.2","27.8","25.2","86","1.0","360","2.7","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1004.6","1006.8","27.3","25.0","87","0.8","260","1.9","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1004.7","1006.9","27.5","25.0","86","0.8","150","1.5","300","0.0","0.0","--","0.00","--","0","--","28.4","28.6","29.1","29.4","30.0","30.7","28.7"
"06","1005.4","1007.6","27.3","25.1","88","0.9","230","2.2","130","0.0","0.0","0.0","0.04","--","0","--","--","--","--","--","--","--","--"
"07","1005.5","1007.7","28.0","25.2","85","1.7","10","3.1","20","0.0","0.0","0.0","0.24","--","0","--","--","--","--","--","--","--","--"
"08","1005.8","1008.0","28.5","24.9","81","1.9","30","4.4","40","0.0","0.0","0.0","0.54","10.0","1","9.0","--","--","--","--","--","--","--"
"09","1005.9","1008.1","29.0","24.8","78","2.6","30","5.4","30","0.0","0.0","0.0","0.57","10.0","2","10.0","28.3","28.4","28.8","29.0","29.7","30.6","28.7"
"10","1005.9","1008.1","29.8","24.9","75","2.4","350","4.8","30","0.0","0.0","0.0","1.03","--","4","--","--","--","--","--","--","--","--"
"11","1006.2","1008.4","29.4","25.2","78","2.0","130","3.2","140","0.0","0.0","0.0","1.23","10.0","5","10.0","--","--","--","--","--","--","--"
"12","1005.7","1007.9","29.2","25.4","80","1.7","150","3.3","160","0.0","0.0","0.0","0.83","--","4","--","--","--","--","--","--","--","--"
"13","1005.0","1007.2","31.1","26.8","78","1.6","130","3.7","140","0.0","0.0","0.2","2.02","--","8","--","--","--","--","--","--","--","--"
"14","1004.3","1006.5","30.5","26.2","78","4.2","170","6.2","160","0.0","0.0","0.3","2.46","20.0","9","9.0","31.2","30.2","30.1","29.4","29.7","30.5","28.8"
"15","1003.5","1005.7","30.1","26.1","79","5.0","180","10.4","170","0.0","0.0","0.0","1.68","--","5","--","--","--","--","--","--","--","--"
"16","1003.1","1005.3","29.9","26.7","83","4.5","180","8.9","160","0.0","0.0","0.0","0.89","--","3","--","--","--","--","--","--","--","--"
"17","1003.1","1005.3","30.0","26.8","83","1.3","150","8.8","200","0.0","0.0","0.0","0.39","15.0","1","8.0","--","--","--","--","--","--","--"
"18","1003.8","1006.0","29.2","27.2","89","2.4","20","4.8","360","T","0.4","0.0","0.14","--","0","--","--","--","--","--","--","--","--"
"19","1004.4","1006.6","28.7","27.1","91","1.8","20","3.4","350","T","0.6","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1004.9","1007.1","28.5","26.9","91","2.6","20","4.8","360","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1005.4","1007.6","28.4","26.8","91","3.2","30","4.9","40","T","0.2","--","0.00","--","0","--","29.4","29.7","30.2","30.2","30.3","30.7","28.9"
"22","1005.6","1007.8","28.3","26.7","91","3.7","20","6.2","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1005.6","1007.8","28.0","26.0","89","1.8","350","4.9","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1005.3","1007.5","28.1","25.1","84","2.6","340","4.7","330","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
