"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1006.3","1008.5","26.1","24.7","92","1.4","10","3.3","340","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1006.0","1008.2","26.3","24.9","92","1.0","310","2.2","330","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1005.6","1007.8","25.9","24.5","92","0.6","280","2.1","290","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1005.5","1007.7","25.6","24.4","93","1.0","240","2.3","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1006.0","1008.2","25.7","24.7","94","3.0","250","4.7","250","0.0","0.0","--","0.00","--","0","--","26.5","26.5","27.0","27.4","28.0","28.5","27.4"
"06","1006.5","1008.7","25.7","24.5","93","2.1","260","4.4","250","0.0","0.0","0.0","0.06","--","0","--","--","--","--","--","--","--","--"
"07","1006.7","1008.9","26.9","25.1","90","0.9","260","3.8","260","0.0","0.0","0.4","0.67","--","1","--","--","--","--","--","--","--","--"
"08","1007.0","1009.2","28.5","24.5","79","1.4","150","2.4","290","0.0","0.0","1.0","1.59","25.0","2","5.0","--","--","--","--","--","--","--"
"09","1007.2","1009.4","29.6","24.9","76","1.9","110","3.2","130","0.0","0.0","1.0","2.41","25.0","5","5.0","27.4","26.9","27.1","27.0","27.7","28.4","27.4"
"10","1007.3","1009.5","29.6","25.4","78","2.7","110","3.7","100","0.0","0.0","0.6","2.35","--","7","--","--","--","--","--","--","--","--"
"11","1007.6","1009.8","29.7","25.5","78","2.5","120","4.0","130","0.0","0.0","0.1","1.99","20.0","7","7.0","--","--","--","--","--","--","--"
"12","1007.5","1009.7","29.4","25.2","78","2.7","90","4.2","80","0.0","0.0","0.2","2.23","--","9","--","--","--","--","--","--","--","--"
"13","1007.2","1009.4","28.8","25.4","82","2.7","80","4.3","90","0.0","0.0","0.0","0.63","--","3","--","--","--","--","--","--","--","--"
"14","1007.2","1009.4","29.3","25.5","80","1.3","100","4.0","70","0.0","0.0","0.0","0.77","15.0","3","10.0","28.3","28.1","28.4","27.8","27.9","28.5","27.5"
"15","1006.9","1009.1","29.2","25.2","79","1.2","60","2.6","90","0.0","0.0","0.0","0.43","--","2","--","--","--","--","--","--","--","--"
"16","1006.8","1009.0","28.8","24.4","77","0.4","170","2.7","80","T","0.1","0.0","0.36","--","1","--","--","--","--","--","--","--","--"
"17","1006.8","1009.0","28.6","24.2","77","1.6","30","2.6","20","0.0","0.0","0.0","0.23","15.0","1","10.0","--","--","--","--","--","--","--"
"18","1007.5","1009.7","27.1","25.3","90","2.3","10","4.8","30","1.5","0.8","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"19","1007.9","1010.1","27.0","25.6","92","2.6","340","3.8","350","T","0.2","0.0","0.03","--","0","--","--","--","--","--","--","--","--"
"20","1008.8","1011.0","26.5","25.1","92","1.7","80","3.9","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1009.3","1011.5","26.6","25.4","93","1.9","40","3.1","340","0.0","0.0","--","0.00","--","0","--","27.2","27.3","27.7","27.9","28.3","28.8","27.5"
"22","1009.6","1011.8","25.9","25.0","95","3.0","10","4.9","10","1.0","0.9","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1009.9","1012.1","26.0","25.1","95","1.7","10","5.5","350","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1009.7","1011.9","25.8","25.1","96","1.8","70","3.5","60","1.0","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
