"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1018.1","1020.4","19.1","17.6","91","4.7","40","10.8","40","1.5","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1017.7","1020.0","18.8","17.5","92","4.4","40","9.4","30","0.5","0.9","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1017.5","1019.8","18.5","17.4","93","3.8","40","6.9","20","T","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1017.5","1019.8","18.5","17.0","91","3.2","30","7.0","40","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1017.6","1019.9","18.4","16.4","88","3.2","40","7.5","80","0.0","0.0","--","0.00","--","0","--","19.1","19.5","20.0","20.5","21.1","21.1","21.0"
"06","1018.4","1020.7","18.8","15.9","83","2.3","40","6.8","20","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1019.2","1021.5","18.6","16.4","87","0.8","340","4.3","50","T","0.4","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"08","1020.0","1022.3","18.8","16.4","86","1.1","10","3.4","30","T","0.6","0.0","0.10","8.0","0","10.0","--","--","--","--","--","--","--"
"09","1020.3","1022.6","18.8","17.0","89","1.5","310","3.3","330","T","1.0","0.0","0.23","8.0","0","10.0","18.9","19.1","19.5","20.0","20.8","21.1","21.0"
"10","1020.4","1022.7","18.9","16.2","84","1.4","310","4.3","20","T","0.1","0.0","0.41","--","1","--","--","--","--","--","--","--","--"
"11","1020.1","1022.4","18.7","16.1","85","1.1","20","3.5","340","0.0","0.0","0.0","0.51","15.0","1","10.0","--","--","--","--","--","--","--"
"12","1019.3","1021.6","19.0","16.4","85","1.9","350","4.9","30","T","0.2","0.0","0.96","--","3","--","--","--","--","--","--","--","--"
"13","1018.6","1020.9","19.7","15.2","75","2.4","10","4.9","360","0.5","0.5","0.0","0.95","--","3","--","--","--","--","--","--","--","--"
"14","1017.8","1020.1","20.2","15.0","72","1.7","340","4.4","30","0.0","0.0","0.0","0.90","15.0","2","10.0","19.4","19.5","19.9","19.9","20.5","21.0","21.1"
"15","1017.6","1019.9","20.4","15.2","72","3.6","50","5.7","50","0.0","0.0","0.0","0.50","--","1","--","--","--","--","--","--","--","--"
"16","1017.5","1019.8","19.8","15.0","74","3.1","50","7.3","50","0.0","0.0","0.0","0.35","--","1","--","--","--","--","--","--","--","--"
"17","1018.1","1020.4","19.7","15.4","76","4.0","60","7.5","60","0.0","0.0","0.0","0.13","10.0","0","10.0","--","--","--","--","--","--","--"
"18","1018.5","1020.8","19.4","15.5","78","4.3","50","8.7","50","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"19","1018.6","1020.9","19.2","15.3","78","3.9","50","9.4","70","T","0.1","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1018.9","1021.2","18.6","15.7","83","2.3","20","6.3","40","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1019.1","1021.4","17.8","16.3","91","2.3","340","4.0","360","T","0.1","--","0.00","--","0","--","18.7","19.1","19.6","19.9","20.6","21.0","21.2"
"22","1019.0","1021.3","17.8","16.5","92","1.4","10","3.7","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1018.5","1020.8","17.9","16.4","91","2.3","340","4.0","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1018.1","1020.4","17.8","16.0","89","1.7","330","3.2","340","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
