"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1021.8","1024.1","18.0","14.7","81","5.1","30","10.0","20","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1021.8","1024.1","18.2","14.5","79","1.6","10","8.1","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1021.5","1023.8","18.0","14.1","78","4.7","40","9.4","50","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1021.3","1023.6","18.3","13.8","75","4.3","30","8.2","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1021.7","1024.0","18.2","13.7","75","5.5","40","9.4","40","T","0.1","--","0.00","--","0","--","17.5","18.1","18.7","19.2","20.1","20.4","21.4"
"06","1022.2","1024.5","17.7","13.8","78","4.4","20","9.7","30","T","0.1","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1022.7","1025.0","17.5","14.0","80","3.3","350","9.1","20","T","0.1","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"08","1023.2","1025.5","18.3","14.4","78","3.6","20","7.1","70","0.0","0.0","0.0","0.08","20.0","0","10.0","--","--","--","--","--","--","--"
"09","1024.0","1026.3","18.3","14.6","79","4.0","40","8.1","40","T","0.1","0.0","0.20","18.0","0","10.0","17.5","17.8","18.4","18.9","19.9","20.4","21.4"
"10","1023.8","1026.1","19.4","14.7","74","3.0","30","9.2","40","0.0","0.0","0.0","0.72","--","2","--","--","--","--","--","--","--","--"
"11","1023.3","1025.6","20.0","13.9","68","4.9","50","9.3","40","0.0","0.0","0.0","1.18","18.0","3","10.0","--","--","--","--","--","--","--"
"12","1022.6","1024.9","19.9","14.1","69","4.1","50","9.0","50","0.0","0.0","0.0","0.76","--","2","--","--","--","--","--","--","--","--"
"13","1021.9","1024.2","19.7","14.1","70","4.1","40","10.9","50","0.0","0.0","0.0","0.89","--","3","--","--","--","--","--","--","--","--"
"14","1021.6","1023.9","19.7","14.3","71","4.2","50","10.2","40","0.0","0.0","0.0","0.64","20.0","2","10.0","18.7","18.7","19.1","19.0","19.7","20.3","21.4"
"15","1021.5","1023.8","19.2","14.1","72","5.3","50","9.0","40","T","0.1","0.0","0.48","--","1","--","--","--","--","--","--","--","--"
"16","1021.8","1024.1","17.5","14.8","84","4.3","20","9.2","60","T","0.3","0.0","0.24","--","0","--","--","--","--","--","--","--","--"
"17","1021.9","1024.2","17.9","15.0","83","3.9","360","7.0","340","0.0","0.0","0.0","0.16","18.0","0","10.0","--","--","--","--","--","--","--"
"18","1022.2","1024.5","18.3","14.6","79","2.8","20","7.1","360","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"19","1022.6","1024.9","18.5","14.4","77","2.5","360","5.4","10","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1023.1","1025.4","18.2","14.5","79","1.2","300","3.7","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1022.9","1025.2","17.3","14.4","83","1.4","250","2.9","260","0.0","0.0","--","0.00","--","0","--","17.7","18.2","18.8","19.1","19.9","20.3","21.4"
"22","1022.8","1025.1","17.4","14.7","84","2.2","280","4.0","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1022.4","1024.7","17.6","14.5","82","1.9","280","4.0","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1022.2","1024.5","18.3","16.1","87","3.4","110","5.5","120","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
