"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1007.7","1009.9","24.7","23.5","93","1.4","10","3.4","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1007.2","1009.4","24.6","23.7","95","0.8","20","2.9","10","T","0.7","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1007.1","1009.3","24.3","23.6","96","1.7","30","3.4","40","T","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1007.1","1009.3","24.2","23.5","96","1.9","20","3.6","30","0.5","0.4","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1007.4","1009.6","24.3","23.6","96","1.1","10","2.8","40","0.0","0.0","--","0.00","--","0","--","25.8","25.9","26.4","26.8","27.7","28.4","27.2"
"06","1007.6","1009.8","24.5","23.8","96","1.9","330","4.1","340","0.0","0.0","0.0","0.04","--","0","--","--","--","--","--","--","--","--"
"07","1007.9","1010.1","24.9","24.0","95","0.1","0","2.7","330","0.0","0.0","0.0","0.21","--","0","--","--","--","--","--","--","--","--"
"08","1008.0","1010.2","26.1","24.7","92","0.7","160","2.1","140","0.0","0.0","0.1","0.96","12.0","2","9.0","--","--","--","--","--","--","--"
"09","1008.1","1010.3","26.7","24.4","87","2.8","90","4.4","90","0.0","0.0","0.5","1.89","12.0","4","9.0","26.5","26.2","26.4","26.4","27.3","28.2","27.3"
"10","1008.4","1010.6","27.9","24.6","82","2.1","60","4.7","80","0.0","0.0","0.0","1.80","--","6","--","--","--","--","--","--","--","--"
"11","1008.1","1010.3","27.7","24.2","81","3.5","50","5.7","40","0.0","0.0","0.1","1.80","15.0","6","9.0","--","--","--","--","--","--","--"
"12","1007.7","1009.9","28.2","24.0","78","3.9","50","7.5","40","0.0","0.0","0.4","2.66","--","10","--","--","--","--","--","--","--","--"
"13","1007.5","1009.7","27.3","24.0","82","3.9","50","7.4","60","T","0.5","0.0","1.03","--","4","--","--","--","--","--","--","--","--"
"14","1007.4","1009.6","26.5","23.8","85","3.7","30","7.6","40","T","0.1","0.0","0.68","10.0","3","10.0","27.5","27.8","28.1","27.4","27.5","28.2","27.3"
"15","1007.3","1009.5","26.0","24.2","90","3.4","30","6.2","40","T","0.7","0.0","0.28","--","1","--","--","--","--","--","--","--","--"
"16","1007.1","1009.3","25.7","24.1","91","2.9","30","5.6","30","T","0.4","0.0","0.19","--","1","--","--","--","--","--","--","--","--"
"17","1007.5","1009.7","25.5","24.3","93","2.6","10","5.6","20","0.5","0.7","0.0","0.07","8.0","0","10.0","--","--","--","--","--","--","--"
"18","1007.7","1009.9","25.1","24.2","95","3.2","30","6.5","20","2.5","0.9","0.0","0.06","--","0","--","--","--","--","--","--","--","--"
"19","1008.1","1010.3","25.1","24.2","95","2.5","20","5.9","20","T","0.1","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1008.4","1010.6","25.2","24.2","94","2.6","360","4.6","10","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1008.8","1011.0","25.5","24.3","93","1.5","310","3.7","360","T","0.1","--","0.00","--","0","--","26.1","26.3","26.8","27.1","27.7","28.3","27.3"
"22","1009.3","1011.5","25.3","24.4","95","0.8","260","2.0","280","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1009.7","1011.9","25.1","24.4","96","1.1","220","2.4","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1008.5","1010.7","25.1","24.2","95","1.5","320","3.1","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
