"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.9","1012.1","20.8","17.0","79","1.2","260","3.1","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1009.3","1011.5","20.7","17.1","80","1.7","270","3.9","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1008.7","1010.9","20.5","16.9","80","1.8","250","4.3","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1008.7","1010.9","20.6","17.2","81","2.0","270","4.3","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1008.6","1010.8","20.0","17.6","86","2.1","260","5.4","270","0.0","0.0","--","0.00","--","0","--","19.3","19.5","19.9","20.1","20.7","21.0","21.2"
"06","1008.9","1011.2","19.8","17.2","85","3.8","230","5.7","240","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1008.8","1011.0","20.3","17.1","82","4.0","240","6.6","230","0.0","0.0","0.0","0.07","--","0","--","--","--","--","--","--","--","--"
"08","1008.6","1010.8","21.9","17.9","78","4.7","230","7.7","230","0.0","0.0","0.4","0.70","20.0","1","1.0","--","--","--","--","--","--","--"
"09","1008.2","1010.4","24.5","17.3","64","4.7","230","8.1","250","0.0","0.0","1.0","1.73","20.0","2","2.0","20.1","19.6","19.8","19.8","20.5","21.0","21.3"
"10","1007.3","1009.5","26.5","18.1","60","4.0","200","7.5","230","0.0","0.0","1.0","2.57","--","4","--","--","--","--","--","--","--","--"
"11","1006.7","1008.9","27.2","21.0","69","4.2","170","7.7","180","0.0","0.0","1.0","3.30","20.0","7","4.0","--","--","--","--","--","--","--"
"12","1005.8","1008.0","26.0","21.9","78","2.3","180","7.2","170","0.0","0.0","0.3","1.87","--","5","--","--","--","--","--","--","--","--"
"13","1004.5","1006.7","25.3","21.8","81","0.9","140","6.2","170","0.0","0.0","0.0","0.80","--","3","--","--","--","--","--","--","--","--"
"14","1003.4","1005.6","25.9","21.8","78","1.6","60","3.2","30","0.0","0.0","0.0","0.70","20.0","3","6.0","23.2","22.3","22.1","20.9","20.8","21.1","21.3"
"15","1002.4","1004.6","27.0","20.4","67","2.6","40","5.3","30","0.0","0.0","0.3","1.15","--","2","--","--","--","--","--","--","--","--"
"16","1002.4","1004.6","27.2","20.6","67","3.1","40","5.8","50","0.0","0.0","0.8","1.66","--","2","--","--","--","--","--","--","--","--"
"17","1002.7","1004.9","25.9","20.3","71","2.8","30","6.7","20","0.0","0.0","0.5","0.69","20.0","1","6.0","--","--","--","--","--","--","--"
"18","1002.9","1005.1","25.0","21.7","82","2.7","30","5.3","20","0.0","0.0","0.0","0.07","--","0","--","--","--","--","--","--","--","--"
"19","1003.2","1005.4","24.7","20.8","79","3.3","360","5.7","350","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1003.8","1006.0","24.3","22.2","88","2.9","10","6.1","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1004.3","1006.5","23.6","21.7","89","1.8","10","4.8","30","0.0","0.0","--","0.00","--","0","--","22.6","22.5","22.7","22.3","22.0","21.8","21.4"
"22","1004.4","1006.6","23.0","21.6","92","1.4","360","3.2","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1004.4","1006.6","22.5","20.6","89","1.4","230","4.1","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1004.3","1006.5","21.7","20.0","90","3.0","230","5.1","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
