"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1011.1","1013.3","26.9","24.6","87","1.5","350","3.2","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1010.5","1012.7","26.8","24.5","87","1.5","330","2.9","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1010.0","1012.2","26.7","24.6","88","0.9","270","2.2","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1009.7","1011.9","26.3","24.0","87","2.5","250","3.6","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1010.0","1012.2","26.1","24.3","90","1.6","240","3.5","250","0.0","0.0","--","0.00","--","0","--","26.6","26.9","27.4","27.7","28.1","28.2","25.9"
"06","1010.4","1012.6","25.9","24.0","89","2.5","240","3.7","250","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"07","1010.9","1013.1","26.5","24.2","87","2.4","250","4.5","230","0.0","0.0","0.0","0.23","--","0","--","--","--","--","--","--","--","--"
"08","1010.6","1012.8","27.5","24.4","83","3.1","230","5.2","220","0.0","0.0","0.0","0.54","12.0","1","9.0","--","--","--","--","--","--","--"
"09","1010.8","1013.0","28.4","23.8","76","3.1","220","5.3","230","0.0","0.0","0.0","0.95","15.0","2","9.0","27.1","26.8","27.1","27.3","27.8","28.1","26.0"
"10","1010.7","1012.9","29.5","24.8","76","3.2","170","4.4","220","0.0","0.0","0.0","1.38","--","3","--","--","--","--","--","--","--","--"
"11","1010.3","1012.5","28.9","24.9","79","2.2","140","4.3","140","0.0","0.0","0.1","1.94","15.0","5","9.0","--","--","--","--","--","--","--"
"12","1009.5","1011.7","29.1","25.5","81","2.8","140","4.2","140","0.0","0.0","0.3","2.35","--","7","--","--","--","--","--","--","--","--"
"13","1008.3","1010.5","29.8","25.6","78","3.7","170","5.4","180","0.0","0.0","0.9","3.01","--","8","--","--","--","--","--","--","--","--"
"14","1007.4","1009.6","30.1","25.2","75","4.5","170","6.7","180","0.0","0.0","1.0","2.92","12.0","7","9.0","29.9","28.9","28.9","27.9","27.8","28.1","26.1"
"15","1007.2","1009.4","29.6","25.2","77","3.9","160","7.1","180","0.0","0.0","1.0","2.24","--","5","--","--","--","--","--","--","--","--"
"16","1007.4","1009.6","29.3","24.9","77","2.4","120","6.2","160","0.0","0.0","0.9","1.57","--","2","--","--","--","--","--","--","--","--"
"17","1007.5","1009.7","28.6","24.4","78","1.6","80","3.4","90","0.0","0.0","0.3","0.68","12.0","1","9.0","--","--","--","--","--","--","--"
"18","1007.9","1010.1","28.1","24.7","82","2.2","80","3.6","80","0.0","0.0","0.0","0.22","--","0","--","--","--","--","--","--","--","--"
"19","1008.8","1011.0","28.1","24.7","82","2.0","80","3.1","80","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1009.4","1011.6","27.9","24.8","83","1.9","60","3.2","100","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1009.9","1012.1","27.7","25.0","85","1.2","80","2.7","70","0.0","0.0","--","0.00","--","0","--","28.4","29.1","29.7","29.5","29.0","28.5","26.2"
"22","1010.0","1012.2","27.8","24.9","84","1.7","50","2.8","70","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1009.9","1012.1","27.4","25.1","87","1.0","360","3.6","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1009.7","1011.9","26.3","24.9","92","2.2","40","5.9","20","2.0","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
